,Fieldnr,code,Dominant,Evenness,Drought,Block,Sampling,Ao,Dg,Lh,Ra,Moist,Resp,NEE,Photo,CH4,N2O,X16S_ngDNA,nirS_ngDNA,nirK_ngDNA,nosZI_ngDNA,nosZII_ngDNA,AOA_ngDNA,AOB_ngDNA
D07B,52,HC,None,High,0,3,2,NA,NA,NA,NA,18.7,445.0121561,-374.5631887,-819.5753448,-0.041045628,-0.008195011,633500,732,8904,6504,1032.6,444.6808511,1431.664581
D07C,11,LMD,Leontodon,Medium,1,1,4,19.62,29.59,1.59,0,32.66666667,114.7801197,-140.3032292,-255.0833489,-0.008861556,0.01344928,489600,262.2,10574,19320,778,994.0909091,7324.545455
D07D,68,LLD,Leontodon,Low,1,4,4,6.42,37.46,10.28,0,35.3,246.3961745,-155.2842714,-401.6804458,0.000527195,0.005853359,272300,417,7174,13520,692.2,1171.279373,4365.796345
D08A,60,ALD,Anthox,Low,1,4,1,57.14,2.83,0.53,1.21,23.53333333,172.8719743,-404.9722064,-577.8441808,-0.056829614,-0.008296749,664700,325,2970,7254,90.07418995,642.0262664,511.4918327
D08B,60,ALD,Anthox,Low,1,4,2,NA,NA,NA,NA,6.933333333,174.3386873,34.79306661,-139.5456207,-0.025643027,0.003210533,586900,225,3110,5442,1476,548.7692308,7150.307692
D08C,43,ALC,Anthox,Low,0,3,3,NA,NA,NA,NA,32.63333333,287.9539765,-295.9253008,-583.8792773,-0.015630875,-0.009490036,810900,485.8,12442,24220,486.6,529.8245614,2279.1423
D09A,68,LLD,Leontodon,Low,1,4,1,17.74,4.77,6.08,3.34,28.63333333,233.2295685,-678.9503402,-912.1799088,-0.012198643,0.002810814,848800,732.4,5646,6528,659.9366658,1494.343434,1006.060606
D09B,68,LLD,Leontodon,Low,1,4,2,NA,NA,NA,NA,3.233333333,58.06699023,66.62986437,8.562874135,0.017645915,-0.005666486,737100,1170,9572,10790,882.8,565.8210948,539.9198932
D09C,52,HC,None,High,0,3,3,NA,NA,NA,NA,36.43333333,567.9405787,-196.8186795,-764.7592582,0.014323701,0.007041612,806200,415.4,7396,16294,555.6,382.6568266,2883.394834
D10C,60,ALD,Anthox,Low,1,4,3,NA,NA,NA,NA,28.8,291.9132406,-159.8569701,-451.7702107,0.002277608,0.041878904,811100,409.4,14400,7672,797,477.388535,4094.267516
D11C,68,LLD,Leontodon,Low,1,4,3,NA,NA,NA,NA,31.53333333,348.7586884,92.06994657,-256.6887419,NA,NA,901200,785,17170,24940,302.4,1066.216216,3522.297297
E01A,5,HC,None,High,0,1,1,34.88,3.48,1.06,2.28,26,197.955217,-675.5449467,-873.5001637,-0.077009841,-0.017048489,828200,604.8,4696,7274,785.8829551,1585.393258,1498.267897
E01B,5,HC,None,High,0,1,2,NA,NA,NA,NA,20,477.4826682,-339.4313005,-816.9139687,-0.016683598,-0.011865692,496200,379.6,5272,7088,368.4,164.9122807,1008.521303
E01C,5,HC,None,High,0,1,3,NA,NA,NA,NA,33.73333333,537.2611171,-132.9019571,-670.1630742,-0.016253668,0.022966798,681500,935,6830,15052,247.6,431.0621242,2065.330661
E01D,21,AMC,Anthox,Medium,0,2,4,23.2,7.37,1.29,0.32,32,189.7674238,-17.74040048,-207.5078243,-0.029326846,-0.001645279,413400,390,14172,23500,388.2,1396.740741,19545.48148
E02A,13,AMD,Anthox,Medium,1,1,1,50.22,3.59,0.33,1.58,26.36666667,319.4439997,-695.977308,-1015.421308,-0.009170679,-0.005611157,1078900,1065,6454,10388,271.07881,1193.292683,1729.481928
E02B,13,AMD,Anthox,Medium,1,1,2,NA,NA,NA,NA,3.233333333,127.7707038,25.89428252,-101.8764213,-0.009925647,0.023588139,821100,2188,12070,17224,999.6,422.0779221,2409.61039
E02C,13,AMD,Anthox,Medium,1,1,3,NA,NA,NA,NA,26.86666667,340.5091378,-126.7574212,-467.266559,NA,NA,1151100,1054,23540,40760,1189,993.5064935,2757.662338
E02D,29,LLC,Leontodon,Low,0,2,4,7.41,7.91,16.27,0.07,37.16666667,59.26020442,-76.2286183,-135.4888227,-0.022254746,-0.004534646,395200,235,7140,16266,514.4,591.6309013,5636.695279
E03A,21,AMC,Anthox,Medium,0,2,1,43.25,2.42,0.65,2.15,24.93333333,193.1968219,-597.5283408,-790.7251626,0.00577938,-0.000334549,880300,636,5160,8574,283.5396754,841.356674,1744.656768
E03B,21,AMC,Anthox,Medium,0,2,2,NA,NA,NA,NA,19.8,386.0822656,-507.4004697,-893.4827353,-0.056186803,0.00270357,563100,1435.8,8766,10786,485,256.5517241,999.7701149
E03D,37,RLD,Rumex,Low,1,3,4,23.83,10.85,0.55,0.82,34.06666667,138.1925009,-211.8183163,-350.0108172,-0.001585561,-0.003949139,402700,303.6,12116,21380,1051,764.1168289,10070.09736
E04A,29,LLC,Leontodon,Low,0,2,1,21.35,10.41,5.6,2.01,28.36666667,420.0440061,-529.632372,-949.6763781,-0.015483517,0.01571591,868000,629.4,4472,6586,762.8924397,2261.176471,1274.545483
E04B,29,LLC,Leontodon,Low,0,2,2,NA,NA,NA,NA,18.63333333,460.8275625,-416.3996909,-877.2272534,-0.049255662,0.006998497,708000,847.8,8312,10106,787.6,407.713885,2602.244039
E04C,29,LLC,Leontodon,Low,0,2,3,NA,NA,NA,NA,32.63333333,463.594026,-405.9475252,-869.5415512,-0.024211643,-0.001814364,715200,1180.4,8328,13360,472.4,523.2432432,9778.378378
E04D,45,AMD,Anthox,Medium,1,3,4,23.56,22.3,1.83,0,34.86666667,327.3972849,-141.8080601,-469.205345,-0.00287597,-0.000539481,477100,280.6,9924,21740,710.4,730.2631579,5768.796992
E05A,37,RLD,Rumex,Low,1,3,1,37.32,4.5,0.45,4.03,28.66666667,199.065372,-621.5891755,-820.6545475,0.008130653,-0.007005039,740700,689.4,4456,6836,1028.601221,838.8753056,1668.203311
E05B,37,RLD,Rumex,Low,1,3,2,NA,NA,NA,NA,4.5,149.561538,-6.909891071,-156.4714291,-0.001397774,0.008721081,772500,982.8,9250,8796,1934,798.3006536,1348.235294
E05C,37,RLD,Rumex,Low,1,3,3,NA,NA,NA,NA,26.86666667,361.354167,-24.72388171,-386.0780487,-0.013255946,0.01094076,740100,1374.6,8734,18714,1438,1099.164345,2939.554318
E05D,53,AMC,Anthox,Medium,0,3,4,25.84,9.2,2.22,0.29,37.43333333,175.3694064,-33.68142272,-209.0508292,-0.008393789,-0.02841381,473500,296,13166,26140,335,620.5323194,5250
E06A,45,AMD,Anthox,Medium,1,3,1,33.51,2.59,1.11,3.55,27.86666667,255.7431427,-346.07095,-601.8140927,0.011275275,-0.002328858,459100,173.1,1375,3406,748.2315453,739.6160558,1150.226747
E06B,45,AMD,Anthox,Medium,1,3,2,NA,NA,NA,NA,3.233333333,52.0557,36.33035511,-15.72534489,0.001029306,-0.002159792,531700,1199.4,6486,9492,1792.6,625.8461538,4032.307692
E06C,4,LLD,Leontodon,Low,1,1,4,10.57,16.61,9.42,0.14,32.76666667,143.1627079,-246.6330465,-389.7957544,0.003085308,-0.005364069,406100,247.4,8460,17430,867.8,1546.176471,23006.17647
E07A,53,AMC,Anthox,Medium,0,3,1,38.16,3.36,0.79,2.91,26.43333333,272.1466489,-795.2113851,-1067.358034,-0.035468392,0.004944585,999700,1038.8,5994,12184,1073.525045,1934.300792,1077.272901
E07B,53,AMC,Anthox,Medium,0,3,2,NA,NA,NA,NA,20.2,517.7020959,-280.8725255,-798.5746215,-0.048713301,0.005358242,803700,1458.2,9842,14114,832.2,287.0212766,495.106383
E07C,12,HD,None,High,1,1,4,7.68,32.9,0.85,0,30.86666667,140.598721,-245.7199505,-386.3186716,-0.055977074,-0.000879037,518400,446.6,17110,29000,902.6,1602.12766,19594.68085
E07D,69,LMD,Leontodon,Medium,1,4,4,15.37,32.24,4.34,0,30.33333333,61.83348523,-112.75301,-174.5864953,-0.01248684,0.006599152,335100,332.6,4818,9794,570.2,880,3658.105263
E08A,61,AMD,Anthox,Medium,1,4,1,46.62,3.48,1.04,2.73,26.8,219.0384961,-560.0284164,-779.0669125,-0.015392425,-0.01388964,900500,486.4,5884,8346,823.8380075,1087.755102,2030.709995
E08B,61,AMD,Anthox,Medium,1,4,2,NA,NA,NA,NA,6.433333333,140.936809,28.79266428,-112.1441447,-0.0182601,0.007730888,717000,2126,13694,15536,1660,597.4311927,3255.045872
E08C,45,AMD,Anthox,Medium,1,3,3,NA,NA,NA,NA,31.66666667,295.9329347,132.9019571,-163.0309776,-0.026361869,0.019638604,934200,983,14104,25520,702.8,661.7886179,2563.685637
E09A,69,LMD,Leontodon,Medium,1,4,1,30.7,9.69,2.88,2.77,30.46666667,314.1857943,-409.281464,-723.4672583,-0.048308189,-0.007919267,901300,669,6230,8206,634.1558928,1929.166667,979.9919861
E09B,69,LMD,Leontodon,Medium,1,4,2,NA,NA,NA,NA,3.533333333,90.33157647,55.57491648,-34.75665999,-0.00188051,-0.012977245,788900,522,9598,10156,1316.6,475.3731343,1215.671642
E09C,53,AMC,Anthox,Medium,0,3,3,NA,NA,NA,NA,38.8,330.0256559,-356.5442388,-686.5698947,-0.025816144,-0.00262768,987900,1215.4,15010,29600,774.2,482.8719723,1400.17301
E10C,61,AMD,Anthox,Medium,1,4,3,NA,NA,NA,NA,30.53333333,265.3132236,-39.05671029,-304.3699339,-0.466019865,0.005994778,1002500,399.4,13646,23560,698.8,735.4632588,3769.009585
E11C,69,LMD,Leontodon,Medium,1,4,3,NA,NA,NA,NA,28.03333333,624.0529146,-320.5225179,-944.5754325,NA,NA,769500,982.2,13428,23060,501.6,520.5714286,4121.714286
F01A,6,LMC,Leontodon,Medium,0,1,1,33.53,3.51,2.16,2.52,23.93333333,187.9107814,-585.1609984,-773.0717797,-0.028749526,0.001545604,792800,734.4,5816,7886,499.4285925,1261.024499,2211.039373
F01B,6,LMC,Leontodon,Medium,0,1,2,NA,NA,NA,NA,21.1,339.1347964,-458.7536954,-797.8884918,-0.068713272,-0.038743716,849000,1353,11376,12178,262,614.8514851,2655.445545
F01C,6,LMC,Leontodon,Medium,0,1,3,NA,NA,NA,NA,33.2,370.5242532,-132.440492,-502.9647451,-0.022505338,0.014827532,760500,595.6,12164,23520,748.6,319.2307692,2602.488688
F01D,22,DMC,Dactylis,Medium,0,2,4,15.09,12.98,2.83,0.31,33.43333333,152.3003794,-4.420750997,-156.7211304,-0.025660704,-0.007260243,379000,364.8,8930,16322,267.4,498.1790592,5988.31563
F02A,14,RMD,Rumex,Medium,1,1,1,24.56,4.84,0.98,2.36,26.23333333,203.0012619,-635.324314,-838.3255759,-0.002659593,0.010329607,789500,779.4,6022,8284,319.5092374,1137.162162,959.2883446
F02B,14,RMD,Rumex,Medium,1,1,2,NA,NA,NA,NA,3.366666667,110.4575487,30.86299285,-79.5945558,0.01296857,0.023778314,675600,1791.8,10280,13282,1361.6,523.1884058,8334.927536
F02C,14,RMD,Rumex,Medium,1,1,3,NA,NA,NA,NA,27.6,833.416489,-88.1606178,-921.5771068,-0.014092353,0.0168907,930300,787.2,13640,29740,722.8,687.4015748,5298.818898
F02D,30,ALC,Anthox,Low,0,2,4,23.91,7.54,2.45,0.21,35.4,127.9634594,-166.283288,-294.2467474,-0.043555071,-0.0110526,417600,266.2,11702,21940,127.94,538.5146805,8138.169257
F03A,22,DMC,Dactylis,Medium,0,2,1,25.16,7.24,0.73,3.41,26.03333333,176.6223954,-626.0643802,-802.6867756,-0.038682933,-0.010701628,915800,644.4,5550,6712,454.7322946,514.5488029,1555.547849
F03B,22,DMC,Dactylis,Medium,0,2,2,NA,NA,NA,NA,19.06666667,541.2873956,-619.374106,-1160.661502,-0.027068114,0.005621322,666300,1152.2,9610,10184,554.2,473.1663685,602.862254
F03C,22,DMC,Dactylis,Medium,0,2,3,NA,NA,NA,NA,32.46666667,369.7871692,-247.1645892,-616.9517584,NA,NA,833700,621.6,10706,20980,725.4,559.6199525,2358.907363
F03D,38,LMD,Leontodon,Medium,1,3,4,10.22,14.2,4.08,0.06,35.7,184.1311264,-194.6594883,-378.7906147,-0.021265455,-0.000515661,480400,381,9980,18960,362.4,1127.895981,7224.113475
F04B,30,ALC,Anthox,Low,0,2,2,NA,NA,NA,NA,20.96666667,607.0183859,-474.2456787,-1081.264065,-0.044355716,0.006931316,547300,924.8,7136,9190,355.2,457.1125265,1218.895966
F04C,30,ALC,Anthox,Low,0,2,3,NA,NA,NA,NA,35.1,505.9187907,-607.4898138,-1113.408605,-0.25519803,-0.007519262,672500,653.4,16682,21920,623,344.6691176,5672.794118
F04D,46,HD,None,High,1,3,4,22.49,23.56,2.44,0,32.03333333,106.7296934,-51.03413196,-157.7638254,0.016815599,0.015509323,407400,335.6,14000,24620,696,886.3720074,13663.72007
F05A,38,LMD,Leontodon,Medium,1,3,1,34.95,6.75,2.17,3.87,25.9,308.2624776,-524.2894551,-832.5519327,-0.030409936,0.002311629,462300,147.98,1100.4,2960,811.4344034,1415.198618,1442.092903
F05B,38,LMD,Leontodon,Medium,1,3,2,NA,NA,NA,NA,5.8,162.5961481,11.37200638,-151.2241417,0.025802232,0.003480383,NA,NA,NA,NA,1491,630.6976744,793.9534884
F05C,38,LMD,Leontodon,Medium,1,3,3,NA,NA,NA,NA,27.7,314.0377706,-134.9176577,-448.9554284,NA,NA,841100,1134.4,10164,20200,618.6,673.7527115,6377.657267
F05D,54,LLC,Leontodon,Low,0,3,4,17.52,10.72,12.23,0.4,36.33333333,108.3862677,-214.0876064,-322.473874,-0.024410536,-0.005435442,300900,366.8,9168,16400,423.4,864.9048626,5268.710359
F06A,46,HD,None,High,1,3,1,29.68,4.69,1.55,3.13,27.4,258.2893328,-416.7663998,-675.0557326,-0.01892114,0.014650085,815100,687.4,4876,7180,190.6881932,529.4670846,783.7719603
F06B,46,HD,None,High,1,3,2,NA,NA,NA,NA,2.1,50.52412621,47.78154057,-2.742585631,0.010979786,0.010087682,638600,918,6718,8524,532.6,506.6666667,5469.333333
F06C,5,HC,None,High,0,1,4,19.99,6.59,3.28,0.18,NA,82.77373867,-209.4363857,-292.2101244,-0.001672881,-0.001737073,326800,556.4,7814,13534,643.6,669.921875,6833.59375
F06D,62,RMD,Rumex,Medium,1,4,4,18.93,20.92,1.84,0.5,31.3,65.43071513,-147.1729791,-212.6036942,-0.018649352,0.013597493,405700,346.4,7902,18274,445.4,1025.824176,1531.593407
F07A,54,LLC,Leontodon,Low,0,3,1,13.84,10.75,4.48,2.84,28.03333333,193.1198356,-523.7899457,-716.9097812,-0.025119265,0.016484856,905800,951.8,5200,7478,1107.327137,1617.6,1429.051521
F07B,54,LLC,Leontodon,Low,0,3,2,NA,NA,NA,NA,25.8,368.0414443,-267.8805073,-635.9219516,-0.042760807,-0.001973484,775000,779.4,7848,9796,911.4,396.2577963,250.1039501
F07C,13,AMD,Anthox,Medium,1,1,4,19.22,16.72,0.61,0.05,29.23333333,113.117978,-166.9898379,-280.1078158,-0.022193367,-0.005667706,539900,1545.6,15500,31720,618.4,813.4328358,7565.298507
F07D,70,RLD,Rumex,Low,1,4,4,17.51,18.59,0.81,0.06,31.46666667,7.152184463,-61.32539703,-68.4775815,NA,NA,444300,321,14396,24800,542,1532.936508,7783.333333
F08A,62,RMD,Rumex,Medium,1,4,1,35.02,4.34,1.79,3.44,26.83333333,202.5910893,-440.3435722,-642.9346616,-0.013271503,-0.000485053,808000,774.2,4790,6668,772.698788,1344.854071,1055.299539
F08B,62,RMD,Rumex,Medium,1,4,2,NA,NA,NA,NA,6.333333333,147.8522934,70.89346211,-76.95883129,0.002417503,0.00417712,800000,1007.6,9184,9104,953.4,549.2753623,1635.217391
F08C,46,HD,None,High,1,3,3,NA,NA,NA,NA,33.73333333,407.4229729,-212.6237096,-620.0466825,-0.0350109,0.021921399,NA,NA,NA,NA,725.4,784.0148699,5078.066914
F09A,70,RLD,Rumex,Low,1,4,1,16.39,4.08,0.33,5.2,29.16666667,150.7852102,-217.4640036,-368.2492138,-0.004340216,-0.000826341,733900,517,4076,6498,853.781481,1985.681818,1288.636364
F09B,70,RLD,Rumex,Low,1,4,2,NA,NA,NA,NA,3.3,81.51604735,47.35483237,-34.16121497,-0.005580032,0.007654728,744600,762,5670,7300,1099,522.9477612,1436.380597
F09C,54,LLC,Leontodon,Low,0,3,3,NA,NA,NA,NA,36.53333333,445.2142112,-216.2446935,-661.4589047,-0.009296372,0.003468089,838700,690.4,7272,18732,1152.2,462.4521073,2411.111111
F10C,62,RMD,Rumex,Medium,1,4,3,NA,NA,NA,NA,30.9,416.751326,-162.0994987,-578.8508247,-0.370583999,-0.002113543,769800,250.8,9322,20060,852.4,341.038961,3661.818182
F11C,70,RLD,Rumex,Low,1,4,3,NA,NA,NA,NA,28.93333333,580.9090909,90.63703965,-490.2720513,-0.129434255,0.006183746,854800,607,16234,25500,210.4,1055.172414,4439.463602
G01A,7,RMC,Rumex,Medium,0,1,1,33.31,7.28,0.7,4.18,24.76666667,180.8524025,-545.6380543,-726.4904569,-0.039741309,-0.005366889,785500,722.2,3960,6880,481.0287968,1032.048193,1498.343989
G01B,7,RMC,Rumex,Medium,0,1,2,NA,NA,NA,NA,20.26666667,538.1510663,-1008.548858,-1546.699924,-0.039567684,0.043642418,560500,516.4,5506,7284,304.8,546.1649783,2259.334298
G01C,7,RMC,Rumex,Medium,0,1,3,NA,NA,NA,NA,36.1,409.1724572,-445.0422047,-854.2146618,-0.028461713,0.012970731,587600,576.2,5500,13238,431.2,589.7233202,1898.814229
G01D,23,LMC,Leontodon,Medium,0,2,4,12.24,14.89,5.72,0.34,37.5,142.930976,79.03900414,-63.89197187,-0.022534676,-0.000461312,373700,297,7968,16454,624.8,2567.974882,38618.52433
G02A,15,DMC,Dactylis,Medium,0,1,1,21.54,10.06,0.85,2.16,28.4,322.9700854,-387.1113883,-710.0814737,0.072346231,0.004590887,1004500,778.4,6102,8528,288.5971493,1138.692098,579.6351689
G02B,15,DMC,Dactylis,Medium,0,1,2,NA,NA,NA,NA,24.56666667,518.066358,-391.3805567,-909.4469147,-0.006869852,0.023442929,516200,736.2,6824,9158,517.4,466.9404517,1162.01232
G02C,15,DMC,Dactylis,Medium,0,1,3,NA,NA,NA,NA,36.43333333,473.8124066,-260.7141544,-734.526561,0.009186997,0.005506636,759600,1198.2,9696,22700,629.2,5.613305613,2410.810811
G02D,31,RMC,Rumex,Medium,0,2,4,20.43,13.64,3.93,0.32,32.33333333,62.98130523,-99.02492283,-162.0062281,0.007597782,-0.001224575,384400,814.4,11850,19502,699,1043.123543,9689.97669
G03A,23,LMC,Leontodon,Medium,0,2,1,29.85,10.13,3.94,2.36,24.46666667,192.0096615,-597.8442249,-789.8538864,-0.017004931,0.009627846,1023900,638.4,5642,7388,581.6431528,1127.358491,1294.798292
G03B,23,LMC,Leontodon,Medium,0,2,2,NA,NA,NA,NA,15.53333333,387.4405741,-797.8693922,-1185.309966,-0.02933112,-0.002678947,658700,791.4,9004,8548,607.6,546.2414579,1381.321185
G03C,23,LMC,Leontodon,Medium,0,2,3,NA,NA,NA,NA,30.56666667,443.2957373,-350.9021729,-794.1979102,-0.036049776,0.006765155,989800,1063.6,17136,28600,1020.6,339.5280236,4351.327434
G03D,39,DMD,Dactylis,Medium,1,3,4,8.17,33.28,1.25,0.13,36.83333333,245.0150927,-183.2561847,-428.2712775,0.012168202,0.018468855,390100,576.2,17650,26720,354.2,848.7704918,5227.254098
G04A,31,RMC,Rumex,Medium,0,2,1,37.27,5.9,1.07,2.3,22.93333333,240.3652963,-352.5112908,-592.876587,-0.051370115,0.01180776,889700,581.8,5480,6950,601.7133947,1034.389857,936.0529493
G04B,31,RMC,Rumex,Medium,0,2,2,NA,NA,NA,NA,20.03333333,505.5047747,-558.0295372,-1063.534312,-0.041768033,-0.001930847,671800,862,8826,9814,584,454.3340381,409.5137421
G04C,31,RMC,Rumex,Medium,0,2,3,NA,NA,NA,NA,33.06666667,1008.75385,-358.6787846,-1367.432635,NA,NA,749800,1426.8,9776,19806,1040.6,476.0667904,1971.428571
G04D,47,ALD,Anthox,Low,1,3,4,39.35,9.81,0.4,0.25,31.53333333,145.7690271,146.5268929,0.757865852,-0.011989314,0.016447792,390200,454,6518,18448,647.8,963.4529148,6322.869955
G05A,39,DMD,Dactylis,Medium,1,3,1,16.11,12.64,0.79,3.25,28.86666667,276.7527897,-462.1970082,-738.9497979,-0.017534507,0.002943012,780900,872.2,6424,7954,67.19423162,562.3655914,1065.484696
G05B,39,DMD,Dactylis,Medium,1,3,2,NA,NA,NA,NA,3.8,97.20150893,11.84298341,-85.35852552,0.015734118,-0.004638873,834300,2008,13858,16214,857.2,1065.904762,804.952381
G05C,39,DMD,Dactylis,Medium,1,3,3,NA,NA,NA,NA,24.43333333,323.818442,-94.70684337,-418.5252853,-0.026745101,0.013804305,1044800,759,18732,29700,1156.8,917.5531915,930.8510638
G05D,55,RLC,Rumex,Low,0,4,4,20.54,8.91,1.35,0.43,34.26666667,95.63345437,-46.99660165,-142.630056,-0.014251406,0.015322448,399000,170.04,6298,16342,333.6,752.6436782,4596.091954
G06A,47,ALD,Anthox,Low,1,3,1,41.36,1.69,0.37,2.21,28.43333333,294.6485491,-320.2253997,-614.8739488,0.045516973,0.02972891,703500,500.6,3562,8490,667.2639504,1291.399417,949.7352721
G06B,47,ALD,Anthox,Low,1,3,2,NA,NA,NA,NA,3.7,142.7392636,80.60352316,-62.13574045,-0.007501933,-0.004495931,483700,480.2,3982,6286,2030,602.6666667,6885.333333
G06C,6,LMC,Leontodon,Medium,0,1,4,23.58,10.63,5.29,0.14,34.9,143.4030068,-244.9140867,-388.3170935,-0.006769168,-0.001969579,398800,389.8,13050,23180,558.8,997.4137931,46120.68966
G06D,63,DMD,Dactylis,Medium,1,4,4,11.12,28.3,0.93,0.29,32.3,55.70652255,-138.2237696,-193.9302922,-0.015517712,-0.006664514,388400,527,11924,19914,810,955.5223881,3933.731343
G07A,55,RLC,Rumex,Low,0,4,1,16.54,3.22,0.28,4.97,29.03333333,199.0697922,-627.7925573,-826.8623495,-0.038320607,-0.000425266,1026300,831.6,5004,7398,14.65964319,393.0232558,597.3490082
G07B,55,RLC,Rumex,Low,0,4,2,NA,NA,NA,NA,16.2,372.7225016,-296.6476927,-669.3701943,-0.067267958,0.041957262,643000,564,6158,7450,NA,334.0057637,1318.011527
G07C,14,RMD,Rumex,Medium,1,1,4,19.11,31.09,1.73,0.05,27.43333333,202.7258848,-311.9891624,-514.7150471,-0.018494308,0.004054187,380600,479.8,15370,35200,697,1208.870968,24760.08065
G07D,71,HD,None,High,1,4,4,19.02,31.39,1.6,0,32.73333333,118.3961613,-108.7111403,-227.1073015,-0.01358297,-0.004265061,399600,404,12090,19972,461.2,1053.021978,5178.296703
G08A,63,DMD,Dactylis,Medium,1,4,1,23.43,10.08,0.52,1.66,26.26666667,208.3456246,-754.5121053,-962.8577299,-0.011824428,-0.002773555,390400,378.8,1784.4,3564,833.6336302,1221.306376,820.9953344
G08B,63,DMD,Dactylis,Medium,1,4,2,NA,NA,NA,NA,6,88.8754978,49.96793844,-38.90755935,-0.005883121,-0.01449038,725500,868,7870,9972,1856,891.0144928,324.7826087
G08C,47,ALD,Anthox,Low,1,3,3,NA,NA,NA,NA,34.66666667,458.7808854,30.62015457,-428.1607309,-0.078114025,0.031403567,700100,774.4,7484,17926,622.6,847.3282443,3441.603053
G09A,71,HD,None,High,1,4,1,28.44,5.47,0.56,3.87,27.16666667,128.1359148,-454.5414565,-582.6773713,-0.033009303,-0.013442507,731100,736.6,4840,7428,739.5831099,1346.567718,999.1939656
G09B,71,HD,None,High,1,4,2,NA,NA,NA,NA,2.733333333,90.59824986,54.03811815,-36.5601317,0.016898967,0.011912699,657500,849.2,6130,8876,1015,465.2406417,1505.614973
G09C,55,RLC,Rumex,Low,0,4,3,NA,NA,NA,NA,33.16666667,411.0426973,-307.3922777,-718.434975,-0.05178205,-0.001713555,788400,507.8,11600,23600,1237.6,477.2616137,4131.295844
G10C,63,DMD,Dactylis,Medium,1,4,3,NA,NA,NA,NA,25.56666667,378.1341645,-485.0130161,-863.1471806,-0.044902352,0.014197786,854300,403.2,12524,17598,784.6,715.4320988,3929.62963
G11C,71,HD,None,High,1,4,3,NA,NA,NA,NA,31.1,503.2472848,-106.1854311,-609.4327159,-0.028272384,0.017187703,819100,682.6,12622,17824,NA,730.6220096,3006.937799
H01B,8,LLC,Leontodon,Low,0,1,2,NA,NA,NA,NA,22.63333333,430.101538,-337.5534412,-767.6549792,-0.025970002,0.007212875,581000,701.4,5670,7516,154.64,680.6122449,1551.70068
H01C,8,LLC,Leontodon,Low,0,1,3,NA,NA,NA,NA,35.26666667,325.0909318,-350.3119289,-675.4028607,-0.056792994,-0.018986439,776900,2072,7994,18394,208.2,211.7021277,1895.212766
H01D,24,AMD,Anthox,Medium,1,2,4,22.77,10.41,2.4,0.04,34.23333333,80.96426899,-57.01223864,-137.9765076,0.001832186,0.020766458,487700,327.8,15146,27040,517.6,760.5670103,5107.860825
H02A,16,AMC,Anthox,Medium,0,1,1,42.91,2.39,1.73,1.12,25.06666667,346.9123108,-810.3715671,-1157.283878,-0.045178908,0.004005209,639500,674.2,3682,6638,337.5704979,799.5110024,849.3408728
H02B,16,AMC,Anthox,Medium,0,1,2,NA,NA,NA,NA,21.56666667,430.4868315,-466.0196656,-896.5064971,-0.022662354,-0.003147044,492400,1586.4,7884,12122,310.8,512.2529644,745.6521739
H02C,16,AMC,Anthox,Medium,0,1,3,NA,NA,NA,NA,34.76666667,377.1668811,-330.7581371,-707.9250182,-0.021556491,-0.009481842,704300,2038,17290,26960,641.6,359.2198582,2435.638298
H02D,32,LMD,Leontodon,Medium,1,2,4,17.48,36.25,3.56,0,29.23333333,62.33027056,-163.8205362,-226.1508067,-0.033007708,0.004875982,476000,328.2,11102,19880,888.6,1676.691729,15630.57644
H03A,24,AMD,Anthox,Medium,1,2,1,43.28,3.12,0.98,1.84,25.7,164.3314224,-467.454402,-631.7858244,-0.056837296,-0.006592543,907700,1046.6,6722,10974,612.4418384,1147.844828,1539.926207
H03B,24,AMD,Anthox,Medium,1,2,2,NA,NA,NA,NA,6.466666667,60.151253,4.569509898,-55.5817431,-0.008293958,0.009191339,650300,1769.8,11902,12152,1646.8,374.498229,6586.304604
H03C,24,AMD,Anthox,Medium,1,2,3,NA,NA,NA,NA,26.66666667,455.9644728,-127.9248772,-583.88935,0.17717798,-0.000464422,1015600,572.6,13596,25980,769,891.8566775,3397.71987
H03D,40,LLD,Leontodon,Low,1,3,4,7.01,16.88,12.47,0,33.1,50.2224761,-191.8265134,-242.0489895,-0.011729977,-0.003087831,448600,461.2,11476,26360,800.2,1440,11531.81818
H04A,32,LMD,Leontodon,Medium,1,2,1,35.78,7.49,2.02,3.75,24.75,290.3417448,-403.9386773,-694.2804221,-0.037279324,-0.000767595,1134500,990.2,6844,9112,576.6480366,1572.634271,1068.589715
H04B,32,LMD,Leontodon,Medium,1,2,2,NA,NA,NA,NA,2.566666667,82.06386096,74.94026192,-7.123599042,0.021441265,0.014968416,859200,676,8942,9910,949.8,895.4873646,2528.880866
H04C,32,LMD,Leontodon,Medium,1,2,3,NA,NA,NA,NA,27.6,1054.923068,-94.4047386,-1149.327806,-0.029765454,0.023216319,837500,1056.4,12706,22640,884.8,636.9369369,5418.918919
H04D,48,RMD,Rumex,Medium,1,3,4,20.38,18.54,2.14,0.01,35.63333333,64.12473398,-147.7825588,-211.9072927,-0.028885072,-0.002775175,472900,538.6,16232,26680,664,776.1710794,3306.720978
H05A,40,LLD,Leontodon,Low,1,3,1,22.37,6.41,6.27,2.41,26.46666667,263.7917579,-631.9711346,-895.7628926,-0.034904618,-0.014703786,737900,736,4442,6636,774.5938244,1070.300752,1217.613208
