"","taxonomy"
"OTU7805","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales"
"OTU6401","k__Fungi"
"OTU8132","k__Fungi"
"OTU7808","k__Fungi"
"OTU7809","k__Fungi"
"OTU8139","k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"OTU8138","k__Fungi"
"OTU6409","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH204215.07FU"
"OTU6408","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU5027","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Schizoporaceae"
"OTU4131","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU4130","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Tubaria; s__Tubaria_hiemalis_SH186580.07FU"
"OTU4133","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU4132","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__Agaricales_sp_SH176913.07FU"
"OTU4135","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__Agaricales_sp_SH186576.07FU"
"OTU4134","k__Fungi; p__Ascomycota"
"OTU4137","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales"
"OTU4136","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_sp_SH007588.07FU"
"OTU4139","k__Fungi"
"OTU4138","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Trechisporales; f__Hydnodontaceae; g__Trechispora; s__Trechispora_sp_SH009016.07FU"
"OTU4198","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe"
"OTU2952","k__Fungi"
"OTU4567","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU4565","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU2478","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH465883.07FU"
"OTU7119","k__Fungi; p__Ascomycota"
"OTU2476","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales; f__unidentified; g__unidentified"
"OTU2477","k__Fungi"
"OTU2474","k__Fungi"
"OTU2475","k__Fungi"
"OTU2472","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales"
"OTU7113","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU7110","k__Fungi; p__Ascomycota"
"OTU7111","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Tolypocladium"
"OTU5989","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium"
"OTU5988","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Hypoxylon"
"OTU5983","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Stemphylium"
"OTU5982","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus"
"OTU5981","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Magnaporthaceae; g__unidentified; s__Magnaporthaceae_sp_SH004336.07FU"
"OTU5980","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__unidentified; g__unidentified; s__Dothideales_sp_SH195777.07FU"
"OTU5987","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae"
"OTU5986","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales"
"OTU5985","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU5984","k__Fungi; p__Ascomycota"
"OTU969","k__Fungi"
"OTU968","k__Fungi"
"OTU219","k__Fungi"
"OTU218","k__Fungi"
"OTU749","k__Fungi"
"OTU748","k__Fungi"
"OTU215","Unassignable"
"OTU962","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH024011.07FU"
"OTU745","k__Fungi"
"OTU960","k__Fungi"
"OTU211","k__Fungi"
"OTU966","k__Fungi"
"OTU965","k__Fungi"
"OTU964","k__Fungi"
"OTU7233","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU7232","k__Fungi; p__Ascomycota"
"OTU7231","k__Fungi"
"OTU7230","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__unidentified; s__Phaeosphaeriaceae_sp_SH208536.07FU"
"OTU7237","k__Fungi"
"OTU7236","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH208535.07FU"
"OTU7235","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Articulospora; s__Articulospora_sp_SH003728.07FU"
"OTU7234","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU7239","k__Fungi; p__Ascomycota"
"OTU7238","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae"
"OTU7589","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Tetracladium; s__Tetracladium_marchalianum_SH204311.07FU"
"OTU7588","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Incertae_sedis; g__Tetracladium"
"OTU2065","k__Fungi"
"OTU2064","k__Fungi"
"OTU7587","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH201681.07FU"
"OTU2066","k__Fungi"
"OTU2061","k__Fungi"
"OTU7580","k__Fungi; p__Ascomycota"
"OTU7583","k__Fungi"
"OTU2062","k__Fungi"
"OTU2934","k__Fungi"
"OTU6182","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6183","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Aspergillus"
"OTU6180","k__Fungi; p__Ascomycota; c__Geoglossomycetes; o__Geoglossales; f__Geoglossaceae; g__unidentified; s__Geoglossaceae_sp_SH017961.07FU"
"OTU6181","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU6186","k__Fungi; p__Ascomycota"
"OTU6187","k__Fungi"
"OTU6184","k__Fungi"
"OTU6185","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__unidentified; g__unidentified; s__Sordariales_sp_SH459331.07FU"
"OTU6188","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriaceae; g__Ceramothyrium; s__Ceramothyrium_carniolicum_SH207611.07FU"
"OTU6189","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_brevicompactum_SH267337.07FU"
"OTU3912","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Infundibulicybe; s__Infundibulicybe_geotropa_SH221468.07FU"
"OTU3913","k__Fungi"
"OTU3910","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU3911","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified"
"OTU3916","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae"
"OTU3917","k__Fungi"
"OTU3914","k__Fungi"
"OTU3915","k__Fungi"
"OTU3918","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma"
"OTU3919","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__unidentified; g__unidentified"
"OTU2880","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Endogonales"
"OTU4342","k__Fungi"
"OTU1329","k__Fungi"
"OTU1328","k__Fungi"
"OTU1323","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH464840.07FU"
"OTU1322","k__Fungi"
"OTU1321","k__Fungi"
"OTU1320","k__Fungi"
"OTU1327","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_terricola_SH190017.07FU"
"OTU1326","k__Fungi"
"OTU1325","k__Fungi"
"OTU1324","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Olpidiales; f__unidentified; g__unidentified; s__Olpidiales_sp_SH216705.07FU"
"OTU2663","k__Fungi"
"OTU2662","k__Fungi"
"OTU2661","k__Fungi"
"OTU2660","k__Fungi"
"OTU2667","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Meripilaceae; g__Rigidoporus; s__Rigidoporus_ulmarius_SH201426.07FU"
"OTU2666","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH458120.07FU"
"OTU2665","k__Fungi"
"OTU2664","k__Fungi"
"OTU2669","k__Fungi"
"OTU2668","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales"
"OTU426","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH471931.07FU"
"OTU7643","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales"
"OTU355","k__Fungi"
"OTU356","Unassignable"
"OTU357","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales"
"OTU422","k__Fungi"
"OTU423","k__Fungi"
"OTU420","k__Fungi"
"OTU421","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Morchellaceae; g__Morchella; s__Morchella_crassipes_SH028131.07FU"
"OTU5387","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU5438","k__Fungi"
"OTU5389","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__Glomeraceae_sp_SH181430.07FU"
"OTU5436","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia"
"OTU5714","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales"
"OTU6964","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes_sp_SH200685.07FU"
"OTU6965","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleomassariaceae; g__Trematosphaeria; s__Trematosphaeria_hydrela_SH024059.07FU"
"OTU6966","k__Fungi; p__Ascomycota"
"OTU6967","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU6960","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_sp_SH005858.07FU"
"OTU6961","k__Fungi; p__Ascomycota"
"OTU6962","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU6963","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales"
"OTU6968","k__Fungi"
"OTU6969","k__Fungi; p__Ascomycota"
"OTU512","k__Fungi"
"OTU513","k__Fungi"
"OTU510","k__Protista; p__Cercozoa; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Cercozoa_sp_SH032763.07FU"
"OTU511","k__Fungi"
"OTU516","k__Fungi"
"OTU517","k__Fungi"
"OTU514","Unassignable"
"OTU515","k__Fungi"
"OTU518","k__Fungi"
"OTU519","k__Fungi"
"OTU6916","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU4939","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__Glomeraceae_sp_SH001352.07FU"
"OTU4938","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__unidentified; s__Microascaceae_sp_SH194818.07FU"
"OTU4931","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae"
"OTU3210","k__Fungi"
"OTU3213","k__Fungi"
"OTU4932","k__Fungi; p__Ascomycota"
"OTU3215","k__Fungi"
"OTU4934","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__unidentified; s__Archaeosporaceae_sp_SH218963.07FU"
"OTU4937","k__Fungi"
"OTU4936","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__unidentified; g__unidentified"
"OTU7722","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes_sp_SH203729.07FU"
"OTU2528","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__Ceratobasidiaceae_sp_SH008005.07FU"
"OTU4805","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae"
"OTU3852","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Lepiota; s__Lepiota_cristata_SH213453.07FU"
"OTU3851","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU7729","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified"
"OTU3850","k__Fungi"
"OTU4523","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe"
"OTU3857","k__Fungi"
"OTU3856","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Paralepista; s__Paralepista_flaccida_SH218339.07FU"
"OTU4803","k__Fungi"
"OTU3854","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Coprinus; s__Coprinus_comatus_SH201291.07FU"
"OTU7354","k__Fungi"
"OTU7355","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH200709.07FU"
"OTU2276","k__Fungi"
"OTU3570","k__Fungi"
"OTU7357","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH174319.07FU"
"OTU4251","k__Fungi"
"OTU2270","k__Fungi"
"OTU3572","k__Fungi; p__Basidiomycota; c__Agaricomycetes"
"OTU2271","k__Fungi"
"OTU4253","k__Fungi"
"OTU2272","k__Fungi"
"OTU3574","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae"
"OTU2273","k__Fungi"
"OTU4707","k__Fungi"
"OTU4704","k__Fungi"
"OTU4257","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__unidentified; s__Tricholomataceae_sp_SH188321.07FU"
"OTU3578","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Incertae_sedis; g__Camarophyllopsis"
"OTU5451","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus_SH195812.07FU"
"OTU4259","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH000798.07FU"
"OTU7873","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae_sedis; g__Cryptococcus; s__Cryptococcus_heimaeyensis_SH181631.07FU"
"OTU5460","k__Fungi; p__Ascomycota"
"OTU5461","k__Fungi; p__Basidiomycota"
"OTU5462","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mucorales; f__Mucoraceae; g__Mucor"
"OTU5463","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium; s__Penicillium_chrysogenum_SH187717.07FU"
"OTU5464","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH197698.07FU"
"OTU5465","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5466","k__Fungi"
"OTU5467","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU5468","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales"
"OTU7875","k__Fungi"
"OTU7874","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae; g__Oidiodendron"
"OTU1510","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH463958.07FU"
"OTU1511","k__Fungi"
"OTU1512","Unassignable"
"OTU1513","k__Fungi"
"OTU1514","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycetes_sp_SH190558.07FU"
"OTU1515","k__Fungi"
"OTU1516","k__Fungi"
"OTU1517","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__Incertae_sedis; g__Operculomyces; s__Operculomyces_laminatus_SH210135.07FU"
"OTU1518","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH463958.07FU"
"OTU1519","k__Fungi"
"OTU7876","k__Fungi"
"OTU7772","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Sphaerulina"
"OTU7773","k__Fungi"
"OTU7770","k__Fungi"
"OTU7771","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU7776","k__Fungi"
"OTU7777","k__Fungi"
"OTU7774","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH483390.07FU"
"OTU7775","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; g__Lachnum"
"OTU7778","k__Fungi; p__Ascomycota"
"OTU7779","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Incertae_sedis; f__Incertae_sedis; g__Myrmecridium"
"OTU5688","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Trichosporon; s__Trichosporon_scarabaeorum_SH182013.07FU"
"OTU5689","k__Fungi; p__Basidiomycota; c__Tremellomycetes"
"OTU5684","k__Fungi"
"OTU5685","k__Fungi"
"OTU5686","k__Fungi"
"OTU5687","k__Fungi"
"OTU5680","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriaceae; g__Cyphellophora; s__Cyphellophora_sp_SH197861.07FU"
"OTU5681","k__Fungi; p__Ascomycota"
"OTU5682","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes_sp_SH211308.07FU"
"OTU5683","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis"
"OTU5452","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH025385.07FU"
"OTU5656","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae"
"OTU6797","k__Fungi; p__Ascomycota; c__Dothideomycetes"
"OTU6796","k__Fungi; p__Ascomycota"
"OTU6795","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH025001.07FU"
"OTU6794","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__Podospora_ellisiana_SH012663.07FU"
"OTU6793","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__unidentified; s__Sporormiaceae_sp_SH184177.07FU"
"OTU6792","k__Fungi"
"OTU6791","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH030150.07FU"
"OTU6790","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Incertae_sedis; g__Periconia"
"OTU6799","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Septoria; s__Septoria_arundinacea_SH183012.07FU"
"OTU6798","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_SH020399.07FU"
"OTU1098","k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Ustilago; s__Ustilago_calamagrostidis_SH175968.07FU"
"OTU4481","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Cuphophyllus"
"OTU4480","k__Fungi"
"OTU4483","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_semiglobata_SH176631.07FU"
"OTU4482","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Lacrymaria; s__Lacrymaria_lacrymabunda_SH221387.07FU"
"OTU4485","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pluteaceae; g__Pluteus; s__Pluteus_cinereofuscus_SH191724.07FU"
"OTU4484","k__Fungi; p__Ascomycota; c__Taphrinomycetes; o__Taphrinales; f__Taphrinaceae; g__Taphrina; s__Taphrina_carnea_SH193601.07FU"
"OTU4339","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_subovalis_SH176637.07FU"
"OTU4338","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius"
"OTU4489","k__Fungi; p__Basidiomycota"
"OTU4336","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU3455","k__Fungi"
"OTU4334","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_echinata_SH001654.07FU"
"OTU3453","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__Agaricomycetes_sp_SH013384.07FU"
"OTU4332","k__Fungi"
"OTU3451","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__Agaricales_sp_SH029800.07FU"
"OTU4330","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__unidentified"
"OTU6421","k__Fungi"
"OTU6420","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales"
"OTU6423","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Ascomycota_sp_SH182984.07FU"
"OTU6422","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__unidentified; s__Phaeosphaeriaceae_sp_SH182917.07FU"
"OTU6425","k__Fungi; p__Ascomycota"
"OTU6424","k__Fungi; p__Ascomycota"
"OTU6427","k__Fungi; p__Ascomycota; c__Eurotiomycetes"
"OTU6426","k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Pustularia; s__Pustularia_sp_SH222141.07FU"
"OTU6429","k__Fungi; p__Ascomycota; c__Incertae_sedis; o__Incertae_sedis; f__Incertae_sedis; g__Chaetosphaeronema; s__Chaetosphaeronema_sp_SH183003.07FU"
"OTU6428","k__Fungi; p__Ascomycota; c__Sordariomycetes"
"OTU7820","k__Fungi; p__Ascomycota; c__Leotiomycetes"
"OTU7821","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Vibrisseaceae; g__Vibrissea; s__Vibrissea_flavovirens_SH212367.07FU"
"OTU7826","k__Fungi; p__Ascomycota"
"OTU7827","k__Fungi"
"OTU7824","k__Fungi"
"OTU7825","k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Incertae_sedis; g__Meliniomyces; s__Meliniomyces_sp_SH027390.07FU"
"OTU544","k__Fungi"
"OTU1094","Unassignable"
"OTU4159","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified; s__Clavariaceae_sp_SH014395.07FU"
"OTU4158","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinellus; s__Coprinellus_micaceus_SH220349.07FU"
"OTU4153","k__Fungi; p__Basidiomycota; c__Pucciniomycetes"
"OTU4152","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Bondarzewiaceae; g__Heterobasidion; s__Heterobasidion_annosum_SH201107.07FU"
"OTU4151","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_narcotica_SH219019.07FU"
"OTU4150","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Schizoporaceae; g__Xylodon; s__Xylodon_nespori_SH221535.07FU"
"OTU4157","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__Clavulinopsis"
"OTU4156","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__Spizellomycetales; f__Spizellomycetaceae; g__Triparticalcar; s__Triparticalcar_sp_SH484377.07FU"
"OTU4155","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Psathyrella; s__Psathyrella_sphaerocystis_SH000797.07FU"
"OTU4154","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales"
"OTU2524","k__Fungi"
"OTU4012","k__Fungi"
"OTU4968","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified"
"OTU3249","k__Fungi"
"OTU2411","k__Fungi"
"OTU327","k__Fungi"
"OTU3242","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Cuphophyllus; s__Cuphophyllus_sp_SH174971.07FU"
"OTU7294","k__Fungi; p__Ascomycota; c__Incertae_sedis; o__Incertae_sedis; f__Pseudeurotiaceae; g__Pseudeurotium"
"OTU3240","k__Fungi"
"OTU2418","k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH183132.07FU"
"OTU7179","k__Fungi; p__Ascomycota"
"OTU3241","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__unidentified"
"OTU2410","k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"OTU3246","k__Fungi"
"OTU7172","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__unidentified; s__Nectriaceae_sp_SH215301.07FU"
"OTU7173","k__Fungi"
"OTU7174","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__unidentified; s__Lasiosphaeriaceae_sp_SH215226.07FU"
